epoch,training_objective,train_loss,train_mae,validation_overall_proxy,validation_mae,validation_mse,validation_rmse,validation_mape_pct,validation_smape_pct,validation_wape_pct
1,wape,0.10096155065566974,265.4084560996608,214585576.20427647,246.07113647460938,1471972.875,1213.2488924371619,128751345664.0,20.81688690185547,11.727010726928711
2,wape,0.09789063379280549,256.39884684856673,221514984.20500574,245.88392639160156,1699986.5,1303.835304016577,132908990464.0,20.075817108154297,11.71808910369873
3,wape,0.0953618550210967,249.01822990474844,240219258.98085746,249.98983764648438,1931758.125,1389.8770179407961,144131555328.0,20.042476654052734,11.913764953613281
4,wape,0.0932453865283414,243.19053160014906,219996760.84350094,241.6381072998047,1663604.125,1289.807786067366,131998056448.0,19.764080047607422,11.515746116638184
5,wape,0.09165046668814537,238.22168809704314,219637951.24223247,235.7118377685547,1689088.0,1299.6491834337448,131782770688.0,19.437091827392578,11.233318328857422
6,wape,0.09028847591769426,234.38940843854633,218774992.3103437,235.35736083984375,1794599.125,1339.6264871224366,131264995328.0,19.804290771484375,11.216424942016602
7,wape,0.08938571572639889,232.80788903487357,214819962.97469297,233.88790893554688,1698434.25,1303.2399050059817,128891977728.0,19.039487838745117,11.146394729614258
8,wape,0.08779592127504206,229.11417398094235,224947568.73308948,228.27903747558594,1574362.0,1254.7358287703432,134968541184.0,19.254831314086914,10.8790922164917
9,wape,0.08661986597274479,225.45850684373897,219833262.17301774,227.5387420654297,1597015.625,1263.730835660822,131899957248.0,19.16352081298828,10.843812942504883
10,wape,0.08551453261223055,221.75100806673666,223110826.75790682,224.58441162109375,1552005.625,1245.7951777880664,133866496000.0,18.61528968811035,10.703018188476562
11,wape,0.08452972913707109,220.47295677930788,215065367.98179647,218.57696533203125,1410303.75,1187.562103639216,129039220736.0,18.285470962524414,10.41672134399414
12,wape,0.08308507241028593,216.277872036812,212381887.23530734,220.53005981445312,1380639.125,1175.0060106229244,127429132288.0,18.369531631469727,10.50979995727539
13,wape,0.08206209962753425,213.45322919573104,217328039.34263945,221.572998046875,1568410.0,1252.3617688192178,130396823552.0,17.655288696289062,10.559502601623535
14,wape,0.08185259584421502,212.18694719587054,211854418.00714317,218.82037353515625,1482767.875,1217.6895642978961,127112650752.0,17.076045989990234,10.428321838378906
15,wape,0.08107047767791532,210.22298430249208,212834986.7531825,215.2268829345703,1460942.125,1208.694388586296,127700992000.0,17.160051345825195,10.257065773010254
16,wape,0.0801924594698992,208.12100738295936,222382189.31693593,222.6215362548828,1516488.25,1231.4577743471352,133429313536.0,18.408588409423828,10.609474182128906
17,wape,0.08014255827082727,208.11014408885984,217974483.71577552,218.15394592285156,1503178.0,1226.0415979892362,130784690176.0,18.209365844726562,10.396561622619629
18,wape,0.07956316325449406,206.6894536412748,221187945.90551165,223.44203186035156,1717732.875,1310.6230865508207,132712767488.0,18.428020477294922,10.648575782775879
19,wape,0.07918199929303693,205.32088986733802,210209682.8603375,214.069091796875,1395467.625,1181.299125962599,126125809664.0,17.921457290649414,10.201889038085938
20,wape,0.0784063317890006,203.30257450189805,215960125.52903077,218.6089630126953,1489222.125,1220.3368899611287,129576075264.0,18.194000244140625,10.418246269226074
21,wape,0.07829540771873374,203.12869854690436,224212568.8382719,222.89442443847656,1707606.75,1306.75428065111,134527541248.0,18.187902450561523,10.622478485107422
22,wape,0.07812871861278563,201.95920138251512,211376442.11572263,217.2881317138672,1511977.5,1229.624942817931,126825865216.0,18.21299934387207,10.355299949645996
23,wape,0.0781218247306078,202.30046127434065,220135738.1167126,219.67189025878906,1628602.5,1276.1671128813812,132081442816.0,17.965641021728516,10.468902587890625
24,wape,0.077432006872014,200.4639418293659,215453477.6347023,216.53807067871094,1465134.125,1210.4272489497253,129272086528.0,17.924291610717773,10.319554328918457
25,wape,0.07739481546152803,200.07408170771777,216475811.9279635,220.12429809570312,1546650.5,1243.644040712615,129885487104.0,17.102752685546875,10.490462303161621
26,wape,0.07744394851134236,199.55866947030663,223467410.862365,218.0733184814453,1536060.375,1239.3790279813516,134080446464.0,17.99531364440918,10.392719268798828
27,wape,0.07655639842824828,197.4845122258466,218595642.11439535,214.93222045898438,1501568.75,1225.3851435365127,131157385216.0,17.6969051361084,10.243023872375488
28,wape,0.07615592430408735,196.77530060961732,214890195.71411434,213.94155883789062,1489785.875,1220.5678494045303,128934117376.0,17.686002731323242,10.195812225341797
29,wape,0.07623655177596816,196.78830798156278,214340990.38237092,217.01925659179688,1586458.5,1259.5469423566556,128604594176.0,17.833354949951172,10.342485427856445
30,wape,0.07607409556333283,195.7532287253473,224651864.83491966,217.24525451660156,1450664.5,1204.4353448815757,134791118848.0,18.065752029418945,10.353256225585938
31,wape,0.0755440946808435,194.82592581842178,211303806.37911567,210.3575897216797,1379460.25,1174.5042571229787,126782283776.0,17.630680084228516,10.02501106262207
32,wape,0.07529039994106257,194.15184242420628,216386491.81964073,212.5009002685547,1439525.625,1199.8023274689876,129831895040.0,17.411197662353516,10.127154350280762
33,wape,0.07505286304574264,193.25085740627202,219446012.67432058,215.68389892578125,1479559.75,1216.3715509662334,131667607552.0,17.6987361907959,10.278846740722656
34,wape,0.07530680415885789,194.10439830579256,213000847.4466225,212.673583984375,1422113.125,1192.5238467217332,127800508416.0,17.6789493560791,10.135383605957031
35,wape,0.0746364753161158,192.13218056815012,219117076.56903544,217.3225860595703,1619353.5,1272.5382116070227,131470245888.0,17.631330490112305,10.356941223144531
36,wape,0.07484294622016133,192.7079878039826,220811154.86205184,216.75706481933594,1578904.375,1256.544617194312,132486692864.0,17.706527709960938,10.32999038696289
37,wape,0.07449037274695877,191.78599767469822,218817263.0201402,213.6845245361328,1459219.0,1207.98137402859,131290357760.0,17.491050720214844,10.183562278747559
38,wape,0.07419690785551429,191.02944233829814,216326485.41842413,212.89993286132812,1483036.375,1217.799809081936,129795891200.0,16.407487869262695,10.146170616149902
39,wape,0.07399441003799438,190.14486864132988,217199343.02095234,214.3643341064453,1521154.125,1233.35077127312,130319605760.0,17.580577850341797,10.215960502624512
40,wape,0.07361999193304464,189.0600983813293,213987928.83276805,210.8982391357422,1470602.625,1212.6840581948786,128392757248.0,17.271711349487305,10.050775527954102
41,wape,0.07344465060229588,188.4108018459234,216914042.96872094,216.26275634765625,1608433.875,1268.2404641865044,130148425728.0,17.60055160522461,10.30643367767334
42,wape,0.0734206630435205,189.13543268648306,221036776.19460773,215.16110229492188,1556232.5,1247.490480925606,132622065664.0,17.511648178100586,10.253931999206543
43,wape,0.07360346121783544,189.92040713891052,212852094.37913617,212.2283477783203,1396088.375,1181.5618371460716,127711256576.0,17.3726806640625,10.114165306091309
