epoch,training_objective,train_loss,train_mae,validation_overall_proxy,validation_mae,validation_mse,validation_rmse,validation_mape_pct,validation_smape_pct,validation_wape_pct
1,wape,0.109718147592437,286.46337693293293,247802101.8602784,249.44512939453125,2055071.75,1433.5521441510245,148681261056.0,19.155479431152344,11.887804985046387
2,wape,0.09889198612225683,257.9773815872078,256017503.6752927,250.14450073242188,2287080.75,1512.3097400995605,153610502144.0,19.02025604248047,11.921134948730469
3,wape,0.098518212184422,255.34398773881725,250414148.36724222,246.92250061035156,2222556.25,1490.8240171126838,150248488960.0,18.792287826538086,11.767584800720215
4,wape,0.0968353824059766,252.13074707949073,252310678.2849157,240.04136657714844,2034868.75,1426.4882579257355,151386406912.0,18.93012237548828,11.439650535583496
5,wape,0.09614553656569101,250.98146490799752,248532800.9539059,246.37808227539062,2206819.75,1485.5368558201442,149119680512.0,18.914859771728516,11.741640090942383
6,wape,0.0952748573812327,249.85044229837288,247977874.8730354,243.64613342285156,2233856.25,1494.6090625979757,148786724864.0,18.528532028198242,11.611442565917969
7,wape,0.09599213832079019,251.15158785482996,245675076.36723652,247.04991149902344,2218067.75,1489.3178807762968,147405045760.0,18.797367095947266,11.773655891418457
8,wape,0.09542150022391986,249.49546675144282,251653106.44497994,238.8359375,2185789.75,1478.4416626975851,150991863808.0,18.375356674194336,11.382203102111816
9,wape,0.09508941716941675,248.05567959663563,251645433.2724612,242.13299560546875,2150991.5,1466.6258895846615,150987259904.0,18.711414337158203,11.539331436157227
10,wape,0.09504426195657342,247.6544126123414,255102648.42148885,247.53567504882812,2286588.0,1512.1468182686494,153061588992.0,18.98885154724121,11.796806335449219
11,wape,0.09526140641673167,248.20094326851063,253962322.0216175,248.49453735351562,2333905.75,1527.7125874980543,152377393152.0,18.760149002075195,11.84250259399414
12,wape,0.09389347907968033,245.7027145041559,250358524.6878465,249.1217498779297,2310342.5,1519.981085408631,150215114752.0,18.54439353942871,11.872393608093262
13,wape,0.09478613521371569,246.9015172972715,246460907.61935553,243.37017822265625,2243330.25,1497.7750999399075,147876544512.0,18.30344009399414,11.598292350769043
14,wape,0.09434658434606136,246.11498312125528,247736893.538818,243.5424041748047,2076633.75,1441.0530004132395,148642136064.0,18.739849090576172,11.606499671936035
15,wape,0.09510716212199147,247.23952746857378,250733254.07125685,239.00509643554688,2079354.875,1441.996835988207,150439952384.0,18.622806549072266,11.390265464782715
16,wape,0.09450295642578513,245.9681712215108,245318451.2988458,242.431396484375,2091436.0,1446.1797951845406,147191070720.0,18.79263687133789,11.55355167388916
17,wape,0.09476570224851594,247.05778686982347,246306406.49941328,248.8339080810547,2043078.125,1429.3628388201507,147783843840.0,18.751569747924805,11.858675956726074
18,wape,0.09421754365128682,246.41508054804981,242392350.81937468,245.25257873535156,2197636.0,1482.4425789891493,145435410432.0,18.34581756591797,11.68800163269043
19,wape,0.09447964322298093,246.72960838375235,254290083.94108963,245.84359741210938,2317671.5,1522.390061712175,152574050304.0,18.76951026916504,11.716167449951172
20,wape,0.09378008424563515,244.8418395078272,253790645.00708398,245.0933380126953,2255165.5,1501.7208462294182,152274386944.0,18.722087860107422,11.680412292480469
