epoch,training_objective,train_loss,train_mae
1,overall,0.3029306169712182,2.9329143188341034
2,overall,0.24988047179134412,2.4051723116493027
3,overall,0.2440342201521404,2.3443125450249873
4,overall,0.24140523774247682,2.315795485876197
5,overall,0.23981131902869593,2.298407027963062
6,overall,0.2384808167363658,2.2837596569938223
7,overall,0.23744206695721068,2.272456344267667
8,overall,0.23663625195856006,2.2635054874818774
9,overall,0.23610937330665507,2.257639199837871
10,overall,0.23537852771603576,2.2495251070618503
11,overall,0.23477261159238147,2.2428660096295077
12,overall,0.23456078674352282,2.2403458265924403
13,overall,0.23398909885183272,2.2343191652088703
14,overall,0.23359709420672528,2.2297865310557334
15,overall,0.23356230491567928,2.229226482574718
16,overall,0.23313768186227904,2.22463531728324
17,overall,0.23288790257248634,2.221953560192383
18,overall,0.23252038670121813,2.218065293231354
19,overall,0.2325292070831251,2.217888355255127
20,overall,0.23243448549303516,2.2171977677439947
21,overall,0.23230794752590833,2.215098046708381
22,overall,0.23185162830128564,2.21058864777863
