epoch,training_objective,train_loss,train_mae
1,overall,0.2444566093860126,2.367877151151436
2,overall,0.1738449535026072,1.695895084019365
3,overall,0.16064727513456295,1.5715985928458729
4,overall,0.15399642033325342,1.5080051970207828
5,overall,0.1500553347972244,1.469948581642741
6,overall,0.1471426197042535,1.441723206573893
7,overall,0.14499265394614408,1.4208981027922036
8,overall,0.14340139528427004,1.4059979360056272
9,overall,0.1417702984224417,1.390423135323958
10,overall,0.14042054591632314,1.3779021215040232
11,overall,0.1392388457788569,1.3663879647897703
12,overall,0.13802311174735007,1.3549178095073162
13,overall,0.13706950925858916,1.345874119078976
14,overall,0.13606271591492955,1.3362584674619955
15,overall,0.13492781504630544,1.3253306965095497
16,overall,0.13408427203585985,1.31740007442865
17,overall,0.13307464023119728,1.3077775206311744
